Sno,temp,hum,soil,ir,ultrasonic,cdate
189,78,78,78,78,78,2022-11-02 09:14:40.975266
190,nan,nan,100,1,1203,2022-11-02 09:18:27.507114
191,nan,nan,100,1,1203,2022-11-02 09:18:36.205179
192,nan,nan,100,1,227,2022-11-02 09:18:44.815700
193,nan,nan,100,1,232,2022-11-02 09:18:53.700368
194,nan,nan,100,1,139,2022-11-02 09:19:02.722320
195,nan,nan,100,1,1203,2022-11-02 09:19:11.445862
196,nan,nan,100,1,247,2022-11-02 09:19:20.060103
197,nan,nan,100,1,107,2022-11-02 09:19:29.146160
198,nan,nan,100,1,246,2022-11-02 09:19:37.763434
199,nan,nan,100,1,1203,2022-11-02 09:19:46.451279
200,nan,nan,100,1,263,2022-11-02 09:19:55.049549
201,nan,nan,100,1,265,2022-11-02 09:20:04.369834
202,nan,nan,100,1,265,2022-11-02 09:20:13.001215
203,nan,nan,100,1,265,2022-11-02 09:20:21.608401
204,nan,nan,100,1,264,2022-11-02 09:20:30.242496
205,nan,nan,100,1,264,2022-11-02 09:20:38.998550
206,nan,nan,100,1,265,2022-11-02 09:20:42.497999
207,nan,nan,100,1,264,2022-11-02 09:20:51.103431
208,nan,nan,100,1,260,2022-11-02 09:20:59.751585
209,nan,nan,100,1,264,2022-11-02 09:21:08.340719
210,nan,nan,100,1,263,2022-11-02 09:21:17.217823
211,nan,nan,100,1,264,2022-11-02 09:21:25.792633
212,nan,nan,100,1,265,2022-11-02 09:21:34.418434
213,nan,nan,100,1,263,2022-11-02 09:21:43.025203
214,nan,nan,100,1,266,2022-11-02 09:21:51.666396
215,nan,nan,100,1,265,2022-11-02 09:22:00.253996
216,nan,nan,100,1,318,2022-11-02 09:22:08.872975
217,nan,nan,100,1,265,2022-11-02 09:22:17.493728
218,nan,nan,100,1,264,2022-11-02 09:22:26.111087
219,nan,nan,100,1,263,2022-11-02 09:22:34.738586
220,nan,nan,100,1,265,2022-11-02 09:22:43.359428
221,nan,nan,100,1,318,2022-11-02 09:22:51.991086
222,nan,nan,100,1,318,2022-11-02 09:23:00.570429
223,nan,nan,100,1,263,2022-11-02 09:23:09.189861
224,nan,nan,100,1,265,2022-11-02 09:23:17.805310
225,nan,nan,100,1,106,2022-11-02 09:23:26.404150
226,nan,nan,100,1,319,2022-11-02 09:23:35.030074
227,nan,nan,100,1,0,2022-11-02 09:23:44.624825
228,nan,nan,100,1,0,2022-11-02 09:23:54.223516
229,nan,nan,100,1,0,2022-11-02 09:24:03.827202
230,nan,nan,100,1,0,2022-11-02 09:24:13.432883
231,nan,nan,100,1,0,2022-11-02 09:24:23.063170
232,nan,nan,100,1,0,2022-11-02 09:24:27.635342
233,nan,nan,100,1,0,2022-11-02 09:24:32.238094
234,nan,nan,100,1,0,2022-11-02 09:24:41.818312
235,nan,nan,100,1,0,2022-11-02 09:24:51.728776
236,nan,nan,100,1,0,2022-11-02 09:25:02.169920
237,nan,nan,100,1,0,2022-11-02 09:25:12.199333
238,nan,nan,100,1,0,2022-11-02 09:25:22.238670
239,nan,nan,100,1,0,2022-11-02 09:25:32.049616
240,nan,nan,100,1,0,2022-11-02 09:25:41.668326
241,nan,nan,100,1,0,2022-11-02 09:25:51.274270
242,nan,nan,100,1,0,2022-11-02 09:26:01.208325
243,nan,nan,100,1,0,2022-11-02 09:26:11.184654
244,nan,nan,100,1,0,2022-11-02 09:26:20.851695
245,nan,nan,100,1,0,2022-11-02 09:26:38.366169
246,nan,nan,100,1,0,2022-11-02 09:26:43.338569
247,nan,nan,100,1,0,2022-11-02 09:26:52.944440
248,nan,nan,100,1,0,2022-11-02 09:27:03.216651
249,nan,nan,100,1,0,2022-11-02 09:27:12.787159
250,nan,nan,100,1,0,2022-11-02 09:27:22.859238
251,nan,nan,100,1,0,2022-11-02 13:48:47.803385
252,nan,nan,100,1,0,2022-11-02 13:48:57.405419
253,nan,nan,100,1,0,2022-11-02 13:49:06.983750
254,nan,nan,100,1,0,2022-11-02 13:49:16.576937
255,nan,nan,100,1,0,2022-11-02 13:49:26.180785
256,nan,nan,100,1,0,2022-11-02 13:49:35.766091
257,nan,nan,100,1,0,2022-11-02 13:49:45.383774
258,nan,nan,100,1,0,2022-11-02 13:49:54.969244
259,nan,nan,100,1,0,2022-11-02 13:50:04.556076
260,nan,nan,100,1,0,2022-11-02 13:50:14.155918
261,nan,nan,100,1,0,2022-11-02 13:50:23.164641
262,nan,nan,100,1,1202,2022-11-02 13:50:31.834632
263,nan,nan,100,1,28,2022-11-02 13:50:40.405972
264,nan,nan,100,1,1202,2022-11-02 13:50:44.078537
265,nan,nan,100,1,35,2022-11-02 13:50:47.667221
266,nan,nan,100,1,17,2022-11-02 13:50:56.264105
267,nan,nan,100,1,1202,2022-11-02 13:51:04.933918
268,nan,nan,100,1,54,2022-11-02 13:51:13.533632
269,nan,nan,100,1,70,2022-11-02 13:51:22.141439
270,nan,nan,100,1,54,2022-11-02 13:51:30.744467
271,nan,nan,100,1,149,2022-11-02 13:51:39.342715
272,nan,nan,100,1,1202,2022-11-02 13:51:48.005975
273,nan,nan,100,1,1202,2022-11-02 13:51:56.664218
274,nan,nan,100,1,1202,2022-11-02 13:52:05.353440
275,nan,nan,100,1,59,2022-11-02 13:52:13.958475
276,nan,nan,100,1,56,2022-11-02 13:52:22.554332
